framework,suite,test,time_ms
"@tldraw/state","s","updateComputations4to1","22.5998"
"@tldraw/state","s","updateComputations1000to1","17.223"
"@tldraw/state","s","updateComputations1to2","42.5362"
"@tldraw/state","s","updateComputations1to4","36.0529"
"@tldraw/state","s","updateComputations1to1000","30.7682"
"@tldraw/state","dynamic","10x5 - 2 sources - read 20% (simple component)","563.9751"
"@tldraw/state","dynamic","10x10 - 6 sources - dynamic - read 20% (dynamic component)","355.9833"
"@tldraw/state","dynamic","1000x12 - 4 sources - dynamic (large web app)","3326.6535"
"@tldraw/state","dynamic","1000x5 - 25 sources (wide dense)","2888.9455"
"@tldraw/state","dynamic","5x500 - 3 sources (deep)","241.1893"
"@tldraw/state","cellx","cellx10","0.0856"
"@tldraw/state","cellx","cellx20","0.0812"
"@tldraw/state","cellx","cellx30","0.0607"
"uSignal","kairo","avoidablePropagation","373.4912"
"uSignal","kairo","broadPropagation","541.6528"
"uSignal","kairo","deepPropagation","169.1756"
"uSignal","kairo","diamond","263.6145"
"uSignal","kairo","mux","504.4621"
"uSignal","kairo","repeatedObservers","41.3717"
"uSignal","kairo","triangle","103.3025"
"uSignal","kairo","unstable","55.0576"
"uSignal","mol","molBench","479.9073"
"uSignal","s","createDataSignals","6.8083"
"uSignal","s","createComputations0to1","5.6595"
"uSignal","s","createComputations1to1","30.3688"
"uSignal","s","createComputations2to1","12.7669"
"uSignal","s","createComputations4to1","11.3161"
"uSignal","s","createComputations1000to1","9.4945"
"uSignal","s","createComputations1to2","17.391"
"uSignal","s","createComputations1to4","17.5838"
"uSignal","s","createComputations1to8","15.8383"
"uSignal","s","createComputations1to1000","7.8787"
"uSignal","s","updateComputations1to1","28.7434"
"uSignal","s","updateComputations2to1","20.0782"
"uSignal","s","updateComputations4to1","13.2056"
"uSignal","s","updateComputations1000to1","10.1445"
"uSignal","s","updateComputations1to2","25.5052"
"uSignal","s","updateComputations1to4","22.5438"
"uSignal","s","updateComputations1to1000","28.5204"
"uSignal","dynamic","10x5 - 2 sources - read 20% (simple component)","338.9824"
"uSignal","dynamic","10x10 - 6 sources - dynamic - read 20% (dynamic component)","324.3013"
"uSignal","dynamic","1000x12 - 4 sources - dynamic (large web app)","398.2552"
"uSignal","dynamic","1000x5 - 25 sources (wide dense)","874.551"
"uSignal","dynamic","5x500 - 3 sources (deep)","215.7776"
"uSignal","cellx","cellx10","0.048"
"uSignal","cellx","cellx20","0.0398"
"uSignal","cellx","cellx30","0.1161"
"@vue/reactivity","kairo","avoidablePropagation","175.2179"
"@vue/reactivity","kairo","broadPropagation","348.0827"
"@vue/reactivity","kairo","deepPropagation","111.9224"
"@vue/reactivity","kairo","diamond","178.2401"
"@vue/reactivity","kairo","mux","360.0855"
"@vue/reactivity","kairo","repeatedObservers","20.2268"
"@vue/reactivity","kairo","triangle","62.3109"
"@vue/reactivity","kairo","unstable","41.2445"
"@vue/reactivity","mol","molBench","337.5258"
"@vue/reactivity","s","createDataSignals","5.8449"
"@vue/reactivity","s","createComputations0to1","4.5634"
"@vue/reactivity","s","createComputations1to1","12.0946"
"@vue/reactivity","s","createComputations2to1","8.5678"
"@vue/reactivity","s","createComputations4to1","7.4352"
"@vue/reactivity","s","createComputations1000to1","7.2881"
"@vue/reactivity","s","createComputations1to2","10.4175"
"@vue/reactivity","s","createComputations1to4","9.2063"
"@vue/reactivity","s","createComputations1to8","8.508"
"@vue/reactivity","s","createComputations1to1000","8.1555"
"@vue/reactivity","s","updateComputations1to1","18.1379"
"@vue/reactivity","s","updateComputations2to1","12.5102"
"@vue/reactivity","s","updateComputations4to1","8.978"
"@vue/reactivity","s","updateComputations1000to1","5.8712"
"@vue/reactivity","s","updateComputations1to2","16.1036"
"@vue/reactivity","s","updateComputations1to4","14.6975"
"@vue/reactivity","s","updateComputations1to1000","14.4155"
"@vue/reactivity","dynamic","10x5 - 2 sources - read 20% (simple component)","265.4827"
"@vue/reactivity","dynamic","10x10 - 6 sources - dynamic - read 20% (dynamic component)","189.5021"
"@vue/reactivity","dynamic","1000x12 - 4 sources - dynamic (large web app)","349.3057"
"@vue/reactivity","dynamic","1000x5 - 25 sources (wide dense)","561.8137"
"@vue/reactivity","dynamic","5x500 - 3 sources (deep)","177.0564"
"@vue/reactivity","cellx","cellx10","0.0693"
"@vue/reactivity","cellx","cellx20","0.0799"
"@vue/reactivity","cellx","cellx30","0.0475"
